GeneCluster	X1	X2	p.value
SVIL	1	0.449	0.076	2.35958694544493e-11
ADAM10	2	0.68	0.767	0.0235343287578194
CSF2RB	2	0.857	0.924	0.000103421862128152
TMEM40	1	0.341	0.102	1.21148604813033e-21
CDC42EP2	2	0.788	0.821	1.91698801960844e-05
EFEMP2	1	0.629	0.338	3.54899400932022e-17
TLN2	2	0.797	0.871	3.67163129381642e-08
WBSCR17	2	0.817	0.895	0.00673175551640049
PLCE1	2	0.746	0.885	8.64047328211331e-08
PSMB8	2	0.62	0.896	7.60259955548918e-09
DDR1	1	0.723	0.461	4.70116531916565e-22
TBC1D5	1	0.103	0.06	8.63688653888823e-17
PDIA4	2	0.878	0.905	0.000920486782022796
NR4A2	2	0.917	0.935	0.0246756098808595
CD109	2	0.81	0.89	0.00471479971491974
SENP5	1	0.055	0.039	2.64433397849842e-15
ESD	1	0.176	0.043	2.71820209779129e-12
NTRK3	2	0.797	0.908	0.000479089583169172
EEF1A2	2	0.833	0.877	0.0309988125642846
PHF13	1	0.4	0.201	9.6763415775323e-06
MLLT1	1	0.639	0.421	6.10716700991597e-15
TMEM39A	1	0.022	0.018	5.97906688812579e-17
IL16	2	0.736	0.775	0.00665576076338958
TMEM68	2	0.062	0.088	1.10558907647416e-07
COL4A1	2	0.925	0.947	0.000115547608754512
BMP7	2	0.755	0.806	6.0616270412056e-05
ARMC9	2	0.717	0.898	6.1140188812673e-10
ZNRF1	1	0.566	0.158	3.8349636146415e-26
B4GALT7	1	0.36	0.215	2.64673435604606e-10
THBS2	2	0.422	0.752	9.78036528823231e-12
ADAM21	2	0.795	0.899	0.00501185359209539
PDCD6	2	0.419	0.694	6.15610630036705e-13
TTYH3	2	0.49	0.796	7.36179677772181e-24
CTSC	2	0.807	0.884	1.20880074471655e-05
RAP2A	2	0.841	0.9	0.00645594299665639
LPAR6	1	0.345	0.105	2.88816676451921e-07
KPNB1	2	0.673	0.785	2.89916847033276e-08
OSBPL7	1	0.232	0.136	7.72449159210922e-09
CD27	2	0.823	0.897	1.38998509410935e-05
NIPSNAP1	1	0.776	0.365	2.63238520312899e-24
COPG2	1	0.196	0.098	8.74513688516895e-08
ATXN10	2	0.749	0.882	1.11243477431696e-07
SLAMF1	2	0.846	0.899	8.87779725770893e-05
NEO1	1	0.204	0.079	1.06402954399904e-06
CHL1	1	0.059	0.037	9.69093316197016e-19
CCDC40	1	0.118	0.08	7.27201953547687e-07
LAMC1	2	0.532	0.834	4.30043488714389e-10
RAPGEF1	2	0.668	0.776	1.05184935220962e-06
POMGNT1	1	0.449	0.12	4.56122551117949e-18
CASKIN2	1	0.04	0.03	0.00021057972984461
AKAP10	2	0.564	0.907	4.10681386421737e-14
RTN4RL1	2	0.682	0.762	2.30331733937942e-08
SLIT1	2	0.817	0.846	0.0491016769742299
WWOX	1	0.586	0.193	2.54242259745202e-12
ATP6V1H	2	0.012	0.015	5.39790977758174e-11
LHFPL2	2	0.565	0.84	4.31181832054581e-12
PCOLCE2	1	0.065	0.048	1.69899398733219e-13
FRRS1	1	0.673	0.346	5.87859436158966e-10
ARC	2	0.017	0.018	0.000694347054760701
WDSUB1	1	0.794	0.462	9.24123712693383e-22
SIRPA	1	0.589	0.315	2.78019737559628e-16
DHX15	2	0.873	0.931	0.000173870766883771
ADAMTS4	2	0.767	0.8	0.000331469634037025
RNF123	1	0.064	0.048	1.18658454232043e-13
SLC38A8	2	0.868	0.924	2.38925186079068e-07
GZMK	2	0.892	0.938	0.00959583078992549
IGSF8	1	0.665	0.314	7.3098304907385e-27
TMEM150B	2	0.779	0.836	0.000714672986153711
KDELC1	1	0.056	0.043	4.05305712463822e-05
GRAMD4	2	0.752	0.829	2.82236444764578e-07
STUB1	1	0.339	0.156	1.45864976614034e-17
PBX1	1	0.721	0.443	5.04286550132163e-15
PLEK	2	0.823	0.882	0.000231959923953304
CDH5	2	0.782	0.87	1.36555112420214e-05
ZNF771	1	0.742	0.294	3.1829472508001e-24
NT5DC3	2	0.7	0.885	5.90001180626905e-07
AMFR	1	0.346	0.088	1.7354814951654e-13
FDFT1	1	0.601	0.147	1.26363314343723e-20
PTP4A3	2	0.76	0.921	5.94286444640337e-10
WDR90	1	0.388	0.311	7.41456515123018e-05
SH3PXD2B	2	0.312	0.632	4.27772479450239e-14
CCDC34	1	0.2	0.041	5.65280765993006e-18
CUEDC1	1	0.138	0.069	3.91607942876309e-07
TIMP3	1	0.36	0.189	1.16922737473802e-12
DIXDC1	1	0.832	0.319	4.01127206352005e-21
MAP3K9	1	0.317	0.148	1.23992268134595e-10
LIMS2	1	0.634	0.262	4.94030399902124e-18
SLC24A4	2	0.894	0.905	0.00679325784091179
MAP3K11	1	0.341	0.132	6.04094005448075e-16
PIK3R5	2	0.891	0.918	0.0179931708003609
RAB2A	2	0.019	0.024	2.87628175428843e-07
ASPSCR1	1	0.407	0.24	3.7729169122589e-12
RHOQ	2	0.388	0.709	6.43004034405918e-15
RAP1GDS1	2	0.649	0.751	1.87148283004933e-05
OBSL1	1	0.768	0.353	1.33179980974528e-16
QARS	1	0.761	0.281	1.69140136246583e-28
SP140	2	0.851	0.905	0.000908852525315252
PAFAH1B1	2	0.638	0.88	2.86501411420276e-08
SCML4	2	0.839	0.907	0.000111754214528608
MAMSTR	1	0.684	0.414	3.93281559570384e-21
ZNRD1	1	0.104	0.067	9.68843568011281e-06
HMOX1	2	0.534	0.618	0.000441527823188303
SOBP	1	0.408	0.118	1.11918102262324e-06
ITGAD	2	0.729	0.77	0.00786775653992765
BTG1	1	0.18	0.046	5.24251231197546e-08
MBNL1	1	0.039	0.03	6.14601941657517e-08
HIP1	2	0.598	0.83	2.54996843624783e-11
PLAGL2	1	0.505	0.306	1.02331462760861e-06
AMZ1	2	0.604	0.786	1.15671950297228e-05
SAMD10	1	0.396	0.035	1.64168540920639e-25
GAMT	1	0.534	0.17	2.2146654691721e-23
IRAK3	2	0.742	0.831	0.000130358254102147
AQP11	1	0.175	0.109	0.00291606346032823
UQCRC1	1	0.043	0.032	1.31004286830808e-09
AKT2	1	0.595	0.375	1.73712862336568e-16
TIPARP	1	0.036	0.027	1.43041721795328e-12
IFT57	1	0.281	0.191	5.39816341738181e-16
FOXL1	2	0.893	0.918	0.00872975392320593
CLCNKB	2	0.659	0.718	2.54663583033556e-05
CCDC12	1	0.647	0.162	7.40198350822175e-28
CHST3	2	0.729	0.834	1.65490236289376e-06
CD300LB	2	0.83	0.884	0.00317820883369267
TRIP10	1	0.085	0.018	0.000202949571741854
AACS	2	0.825	0.838	0.00909240875685185
HTRA1	2	0.531	0.799	4.09392599403053e-06
C2	2	0.529	0.759	1.7330197998547e-07
ELL2	1	0.607	0.184	3.0529922503952e-15
LOH12CR2	1	0.53	0.067	1.42151580315874e-30
GSTM2	1	0.472	0.244	1.85622163165452e-24
S1PR2	2	0.919	0.937	0.000172740182166066
IL1RN	2	0.791	0.886	0.00033710173079366
LMCD1	1	0.769	0.115	7.89008195792105e-39
GNB5	2	0.831	0.893	6.22881705988976e-07
CRAMP1L	1	0.28	0.073	3.48984923940979e-19
LRRCC1	2	0.035	0.047	1.5056108425146e-06
FNBP1	2	0.64	0.876	1.44956821911372e-09
PFKP	2	0.818	0.922	2.13855342288523e-07
GUF1	2	0.693	0.787	3.70162102899072e-05
ENPP2	1	0.447	0.062	2.21844812607434e-14
NPAS3	1	0.517	0.119	1.79456038514369e-18
RHOBTB2	1	0.601	0.339	1.12805366815823e-16
ZNHIT1	2	0.418	0.652	1.25788801300346e-08
NPR1	2	0.91	0.926	0.0418272338316529
PGBD1	1	0.08	0.059	1.8377425029054e-08
S100B	1	0.826	0.211	1.68829798231118e-32
SPATA13	2	0.392	0.798	3.50415190026288e-18
KIAA0513	2	0.776	0.815	0.000205380063034084
MMP25	2	0.48	0.774	6.50379594001907e-10
SLC25A45	2	0.662	0.767	6.30639307484633e-09
KCNIP3	2	0.636	0.765	5.17508698557451e-06
TSPAN17	2	0.842	0.889	0.00175971025674827
MSRB2	1	0.461	0.256	5.20847434705503e-08
CEP72	2	0.574	0.849	4.23326100114258e-15
TJP2	1	0.202	0.098	1.29301327248647e-06
G0S2	2	0.689	0.729	0.00786871524319529
RPS20	2	0.382	0.403	0.000682775856924934
OLA1	1	0.256	0.07	1.52327354292199e-11
ARHGEF7	2	0.856	0.893	0.000955285194572316
ADAM9	2	0.679	0.862	2.04260460798493e-10
ESRP1	2	0.032	0.042	1.86106457838235e-06
CUTA	1	0.245	0.108	1.15851481222937e-08
LSM3	1	0.032	0.025	2.41401833609535e-15
TPX2	2	0.917	0.927	0.00667391285491232
IKZF1	2	0.66	0.788	0.00018241309086923
SPI1	2	0.918	0.961	0.000388358056713867
LRRTM2	2	0.684	0.817	1.15915742378437e-08
ZBTB48	1	0.435	0.284	4.808395752275e-10
FUT1	2	0.841	0.865	0.000265421055986354
SPAG16	1	0.513	0.134	5.84628153307732e-14
OSBP2	1	0.057	0.039	0.0147250455651403
PHF20	2	0.785	0.86	1.29452817838236e-05
RBMS1	2	0.454	0.737	9.46510292044212e-10
RAB15	2	0.642	0.729	1.71213523979e-06
RNF213	2	0.696	0.906	4.03234792084544e-12
NEK4	1	0.02	0.017	7.8186751320941e-09
PPFIBP2	1	0.766	0.499	4.46727195295457e-12
HES6	2	0.785	0.82	9.04805910812886e-05
ABHD8	1	0.468	0.278	1.34608954301147e-09
PRKCD	1	0.534	0.174	2.74560056358788e-27
MYH14	1	0.049	0.036	0.000816538196624212
LAMB2	1	0.157	0.085	5.87649561089191e-15
ASPH	2	0.02	0.025	2.11017757634326e-08
ENPEP	2	0.929	0.938	0.00723611875468939
DNMT3A	2	0.783	0.846	1.28302104013215e-08
ABTB2	2	0.406	0.698	1.8085453651435e-09
RADIL	1	0.607	0.161	1.90040077265952e-28
AOC3	2	0.856	0.888	0.000132856939380537
LMO2	2	0.851	0.927	7.88023183439001e-05
UBE2D3	2	0.61	0.804	6.45512731264935e-07
APOBEC3D	2	0.638	0.777	4.58090852819733e-05
DCUN1D1	1	0.188	0.125	7.4916824359106e-16
TST	1	0.5	0.285	8.57691323267751e-19
GZMB	2	0.777	0.837	0.0189358182609571
PCDHA12	2	0.712	0.908	8.00645575401236e-07
ATP6V1C2	2	0.748	0.899	5.12225426600896e-07
FBXO17	1	0.548	0.103	5.38956141447886e-30
CDK13	2	0.768	0.845	9.98209665692803e-07
LARP4B	2	0.448	0.8	1.18001040721255e-15
PLEKHG4B	2	0.823	0.897	6.59741970410474e-07
DCTN1	1	0.137	0.079	8.33867138411403e-06
MORN1	1	0.682	0.218	3.59791781909362e-21
CD180	2	0.897	0.913	0.00468188873294086
FDPS	2	0.644	0.761	1.94661403902899e-08
JPH1	2	0.013	0.015	9.10236381520724e-09
SLCO5A1	2	0.018	0.023	1.80559801671451e-10
ZBTB38	1	0.653	0.402	3.88016973044007e-11
CLCN3	2	0.651	0.811	5.33746481990045e-06
PARVG	2	0.837	0.901	1.3159194359252e-06
ZC3H7A	2	0.755	0.917	2.20402583097204e-14
ZDHHC7	2	0.825	0.921	7.45508956681837e-12
UBOX5	2	0.799	0.853	0.00177599901164597
ATR	1	0.416	0.088	1.50958591527578e-20
CTDSP2	1	0.236	0.047	1.44634291219571e-12
PTPRC	2	0.777	0.869	0.000140280389555095
TMEM175	2	0.923	0.955	0.000783158923663513
PRKDC	2	0.01	0.012	7.28849566321616e-08
WIPI2	1	0.583	0.295	4.16672963840535e-12
MRPL43	1	0.835	0.323	1.63132641178609e-31
WRNIP1	1	0.693	0.206	3.42708555202426e-26
NF1	2	0.543	0.918	3.72976640770881e-12
KLK14	2	0.517	0.825	8.22118858314598e-10
SGK3	2	0.923	0.938	3.23350829038591e-06
MNT	1	0.338	0.178	3.63851970005859e-17
LCP2	2	0.71	0.777	5.04718052581028e-05
RBM6	1	0.023	0.018	8.14409352754548e-16
FGD5	2	0.895	0.928	1.57907125783192e-09
CDH13	2	0.781	0.906	5.71940512383935e-06
SLC41A1	2	0.576	0.736	6.46242995962647e-07
TRAF3IP3	2	0.789	0.846	0.0023955176961541
PLXNB1	1	0.464	0.162	2.87981355165256e-18
RNF13	1	0.035	0.028	6.66079670222526e-14
HECW2	2	0.625	0.84	2.50879732585932e-06
ZNF704	2	0.869	0.917	3.10325067173534e-06
ZNF710	2	0.584	0.719	5.72240504360903e-06
FZD6	1	0.137	0.055	2.39716902844936e-06
PAG1	2	0.874	0.93	3.09026294236235e-05
XRCC5	2	0.826	0.902	8.78675637639503e-06
TNFRSF8	2	0.943	0.967	6.82733107951445e-06
HDAC4	2	0.287	0.921	1.18380739776502e-30
ITPRIPL2	2	0.206	0.646	3.56114173183993e-14
WDR43	2	0.907	0.941	5.2486331148487e-06
CAST	2	0.849	0.89	9.45070510717929e-09
BAG2	2	0.333	0.831	1.97026318309848e-13
CTSA	2	0.848	0.88	0.0163488202761086
ATHL1	2	0.924	0.961	0.000806867076204837
MKRN2	1	0.849	0.393	1.82302377317914e-27
GRIN2A	2	0.902	0.93	0.000894267868454463
PELI3	1	0.109	0.068	0.00019481818989978
RSPH10B2	1	0.21	0.15	0.00136052362980045
MRPL15	2	0.013	0.014	8.49837603091958e-09
NBN	2	0.095	0.137	2.66962354554894e-06
DSCC1	2	0.928	0.943	0.00505514097744948
DRAP1	1	0.555	0.309	1.33182713209548e-12
KDM5B	1	0.391	0.077	6.66764270885477e-24
TOMM20L	1	0.226	0.089	1.62781228325845e-07
EZH1	1	0.578	0.311	2.75904408928367e-15
DIRC2	1	0.781	0.505	1.8266239714747e-17
FZD7	2	0.73	0.796	0.000138976822872403
KIF9	1	0.035	0.026	2.25561741028296e-15
SLC46A1	2	0.718	0.795	2.74490055555558e-07
TPD52L2	1	0.416	0.16	1.65298230174748e-14
FAM35A	2	0.844	0.889	9.46642177204962e-07
UBE2V2	2	0.014	0.017	8.83093215341113e-11
IGFBP7	2	0.737	0.83	1.5089871516062e-06
BRI3BP	2	0.816	0.866	2.8461123300876e-05
ETV3L	2	0.901	0.929	0.00493363096442716
SERGEF	1	0.38	0.188	7.61416462410364e-16
SPOP	2	0.907	0.924	0.00261340281856747
AHNAK2	2	0.323	0.733	1.6250598956411e-15
NYNRIN	1	0.785	0.171	1.27367120106413e-27
MPZ	1	0.826	0.32	1.20931637372319e-18
NDUFB4	1	0.042	0.032	5.51894285290821e-10
DAZAP1	1	0.475	0.199	1.57212160535429e-15
ZNF154	1	0.057	0.036	0.0189340971751409
GLRX	2	0.833	0.882	4.49751301992303e-05
BAIAP2L2	2	0.421	0.819	3.05259600137501e-21
TEX9	1	0.143	0.039	3.07781762616995e-07
THOC7	1	0.199	0.115	7.7920395793368e-18
RFTN1	2	0.716	0.813	9.49111826112852e-06
FCGR1A	2	0.863	0.902	0.00298948088596279
TTLL11	1	0.312	0.086	3.97801411163348e-18
DENND3	2	0.85	0.887	9.81673579503164e-06
FGFR1	2	0.499	0.681	2.27728695862171e-05
PLSCR4	1	0.263	0.109	3.94478961405327e-13
GPR171	2	0.784	0.873	4.14819633305853e-15
LAMB1	2	0.907	0.924	0.0499716642811751
ARMC3	1	0.463	0.326	0.000175692824489325
ARHGEF18	1	0.131	0.081	4.3751221327223e-06
VPS53	2	0.5	0.864	2.53735327852847e-10
ZBTB10	2	0.039	0.053	7.85074097408216e-08
AP4S1	1	0.044	0.036	0.00528027100118677
ERBB3	1	0.498	0.157	5.46906213679787e-17
RDH10	2	0.066	0.095	2.96566424470097e-08
CHCHD7	2	0.034	0.051	2.08370933250258e-10
B4GALT5	2	0.889	0.938	3.79750696084974e-07
GLRX5	1	0.538	0.186	4.60264285061333e-25
NKIRAS1	1	0.054	0.039	6.4845120287972e-17
LRRN1	1	0.136	0.059	8.45675692009108e-05
NFIA	1	0.57	0.117	2.20947597557531e-24
CAMK1D	2	0.78	0.911	6.31533515250695e-06
DAB2	1	0.555	0.095	2.15512501554481e-21
NOL10	2	0.641	0.869	1.95632140777341e-09
B3GALNT1	1	0.035	0.027	1.39380929892882e-12
HEMK1	1	0.876	0.788	5.60336311442284e-17
LIME1	2	0.805	0.858	0.000603922990752726
AES	1	0.415	0.2	2.90072763754381e-06
ALS2CL	2	0.9	0.922	0.000541488495920157
TRAF5	2	0.912	0.929	9.82538111490699e-05
F2R	2	0.752	0.826	4.4112976117367e-05
CLPB	2	0.717	0.805	9.66246039660897e-07
MTUS1	1	0.834	0.251	3.10041943534502e-29
DNM1	1	0.403	0.144	5.78310876353034e-19
SHMT2	2	0.76	0.834	2.34982151763386e-06
VKORC1L1	2	0.821	0.903	0.000653544932425596
ZC3H11A	2	0.936	0.947	0.0236991657127634
POLR2J4	1	0.169	0.092	6.41492654450527e-11
NIPAL2	2	0.886	0.933	2.45025324181983e-07
DNAJC13	2	0.883	0.929	6.5475129663579e-10
JARID2	1	0.516	0.122	3.61007247944949e-20
IER5L	2	0.015	0.023	0.00372788939686943
TNNI2	2	0.939	0.969	0.000469891488504782
EPS8	2	0.439	0.744	5.95444836023856e-12
LAMA5	2	0.332	0.446	8.54939788520109e-06
ARNTL	2	0.879	0.898	0.000509529501243557
ITGB3	2	0.919	0.94	0.00019608686697247
UNK	1	0.507	0.264	1.4940572766495e-07
CD48	2	0.778	0.842	0.000123810469786384
NCOA2	2	0.931	0.945	0.000255731063393661
SIL1	2	0.892	0.906	0.00328079438765972
ACOT8	2	0.808	0.86	0.000297723949235799
TMEM201	1	0.285	0.189	2.44510658228212e-06
ALG3	1	0.032	0.024	9.7418343203639e-16
GPR107	2	0.909	0.974	0.00084507824980104
MAGEF1	1	0.226	0.143	8.53525241693236e-08
PER1	1	0.086	0.036	3.80003101957564e-13
DYNC1I2	2	0.787	0.872	5.4528262447042e-07
RCL1	1	0.543	0.215	4.72343241645259e-16
AKR7A2	1	0.421	0.224	2.03406904912887e-12
MYBL1	2	0.032	0.045	9.25861650352568e-08
CSK	1	0.346	0.06	1.0268695784086e-09
GALNT10	2	0.829	0.864	0.00018392971449568
P4HA1	2	0.615	0.868	1.86645521186848e-10
ABHD5	1	0.037	0.028	1.61746529847834e-10
PHC3	1	0.056	0.04	1.01470204301666e-14
SH3GLB2	1	0.413	0.216	2.37607555315247e-13
CUL9	1	0.582	0.369	3.65273379277555e-12
RUSC2	2	0.787	0.864	2.16071967287295e-05
APTX	2	0.843	0.886	3.58366333423913e-07
MELK	2	0.595	0.833	4.68984644760458e-08
RASL12	2	0.813	0.83	0.0047705254022107
BRD3	1	0.603	0.311	1.17529760712043e-17
CPLX1	2	0.685	0.873	2.67023519936893e-05
STIM1	2	0.55	0.78	7.17859390428979e-11
CCDC66	1	0.038	0.028	9.03534212539848e-16
GPR65	2	0.865	0.915	0.000513176712077416
MLLT11	1	0.846	0.368	9.43862987823621e-22
YPEL2	1	0.311	0.202	3.2367672718807e-05
TAGLN2	2	0.41	0.699	2.85087913277992e-09
AUH	2	0.521	0.791	3.74227279749688e-10
NADK	2	0.854	0.888	0.00118645194457444
METTL13	1	0.668	0.232	1.77755088789769e-17
PDGFRB	2	0.877	0.914	1.59499030547691e-05
STAT6	2	0.84	0.868	0.000155664748971005
SLC45A3	2	0.746	0.792	8.35793325854154e-06
PAPPA	2	0.804	0.902	1.74634645782253e-06
HCST	2	0.847	0.903	0.000137548060598592
PRKCA	2	0.43	0.875	1.45105829669264e-21
TRMU	2	0.813	0.824	0.0213976204486428
CDC25B	2	0.765	0.883	5.19320941801714e-06
DENND1A	1	0.479	0.115	7.81376788903291e-20
CD300C	2	0.707	0.829	0.00012393494720682
FBXL15	1	0.195	0.064	1.97648865682477e-13
PSMA4	2	0.645	0.775	0.000418938654307853
GTF3C5	2	0.874	0.925	0.00463100246980031
PTPN3	2	0.874	0.9	0.00784768445734411
PTAFR	2	0.719	0.75	0.00216628798624363
BIRC3	2	0.918	0.932	0.011098504248253
GPATCH1	1	0.051	0.038	6.60827443811868e-05
COQ6	2	0.866	0.913	1.27384379880204e-05
NCOA3	2	0.812	0.889	0.00162507053625898
ZNF578	1	0.048	0.023	0.000435204194075327
FAM179A	2	0.828	0.887	0.00010564749592048
ANKRD23	1	0.407	0.168	2.53486788780504e-13
HSD17B12	2	0.688	0.843	0.000130254393936212
PROS1	2	0.843	0.895	6.42497062919663e-13
CCL5	2	0.671	0.755	0.00234370905296997
QRICH1	1	0.115	0.076	1.96246073295455e-13
VDR	2	0.808	0.857	6.97624915594644e-05
ZNF696	2	0.835	0.872	0.000101139109421683
SLC44A3	1	0.857	0.267	4.49581889809486e-21
SLC25A38	1	0.608	0.033	1.71973999946581e-27
TRIM69	2	0.774	0.828	0.000481480999601006
RANBP17	2	0.89	0.927	0.00140709636532171
CD37	2	0.871	0.929	0.0001799060593721
MED11	2	0.804	0.829	0.0147211104193933
SYNPR	1	0.057	0.032	0.000913633880663149
MCM2	1	0.485	0.108	1.37038684853874e-19
PKD2	2	0.742	0.857	0.00128620479714707
CD300LF	2	0.489	0.762	9.87838339580921e-09
SPRY1	1	0.553	0.216	2.86010098884729e-08
ANKRD30B	2	0.456	0.673	7.46411155472546e-11
KDM2B	2	0.849	0.892	0.00332089395360738
CD93	2	0.811	0.884	7.44355045422321e-06
SPRY2	1	0.448	0.183	1.38409305024599e-08
SEPT4	1	0.364	0.185	4.01891452264413e-09
SLC7A8	2	0.6	0.842	5.98524919367523e-11
FCGRT	1	0.573	0.099	1.83528199191349e-27
DSC2	2	0.867	0.915	0.00578524517787098
VCPIP1	2	0.015	0.017	1.58414891589138e-09
FILIP1L	2	0.884	0.933	1.09486507517699e-07
SERPING1	1	0.571	0.159	1.09020237819955e-14
RCSD1	2	0.804	0.856	0.000146742684506522
EIF3K	1	0.342	0.167	4.35826144600611e-12
FILIP1	2	0.783	0.89	1.31762959626643e-07
CMTM6	1	0.025	0.02	3.2528901284294e-14
RPL7	2	0.054	0.079	4.6107601330194e-07
TAPBPL	2	0.849	0.912	3.07471348823038e-05
DUSP14	2	0.555	0.738	4.31881926423681e-11
FAM169A	1	0.78	0.284	2.77496826541577e-27
SLA2	2	0.739	0.814	2.76603019930599e-05
GIMAP7	2	0.707	0.838	0.00165509812518845
PRG2	2	0.812	0.891	0.000212765642455891
KIRREL	2	0.802	0.884	1.25900864290603e-10
LIN7B	1	0.272	0.1	2.48348759980316e-17
ADAM12	2	0.66	0.893	1.93715534307239e-08
TIMM17A	2	0.812	0.9	0.00192453124505507
TBCCD1	1	0.039	0.033	3.84456738208368e-06
SSPO	2	0.811	0.87	4.77236447430403e-07
ARL8B	1	0.022	0.019	5.96137371165229e-14
RPL24	1	0.027	0.021	2.45041515527973e-13
CHADL	1	0.447	0.336	1.63966917844692e-08
CEBPD	2	0.011	0.012	2.92642260547047e-09
TEAD4	2	0.353	0.624	1.02349581884414e-08
LRRC27	1	0.111	0.043	1.81422894605727e-06
BCAT1	2	0.491	0.707	5.02974630568464e-07
B4GALT4	1	0.023	0.019	4.59945757184463e-14
TIFAB	2	0.716	0.763	0.000769559374650489
OR2A7	2	0.774	0.825	0.00232648580069198
CC2D2A	2	0.918	0.929	0.00422814631033815
CDK20	1	0.237	0.077	5.43664166057733e-11
ATG16L1	2	0.829	0.867	0.000562002267192852
