GeneCluster	X1	X2	p.value
CCDC24	2	-0.455	0.031	0.0212866169481947
KLF17	1	0.228	-0.4	0.000989644320343765
RNF220	2	-0.872	-0.144	0.0066924714957402
TMEM53	2	-0.607	0.138	0.000686214798688567
KIF2C	1	0.217	-0.405	0.00305568506964453
BTBD19	1	0.159	-0.514	0.000925781496983683
RPS8	2	-0.73	0.17	1.50441639639007e-05
ZSWIM5	1	0.081	-0.354	0.030209550500046
HPDL	2	-0.367	0.156	0.00625841706659007
MUTYH	2	-0.822	0.115	0.000674869255978203
TESK2	2	-0.89	0.283	6.09429735819329e-09
MMACHC	2	-0.88	0.262	4.04274966558924e-08
NASP	1	0.33	-0.741	1.21023704536939e-07
IPP	1	0.116	-0.514	0.0026161452453774
MAST2	1	0.131	-0.541	0.00166394513204785
PIK3R3	1	0.358	-0.687	3.46855772690415e-08
POMGNT1	2	-0.795	-0.064	0.00335175095079969
LURAP1	2	-0.789	0.406	6.82655946404997e-10
RAD54L	1	0.106	-0.372	0.0194968306954694
NSUN4	1	-0.148	-0.73	0.0219050361465468
FAAH	2	-0.452	0.133	0.00497458970355571
CYP4A11	1	0.214	-0.266	0.0135746444951181
TAL1	1	0.273	-0.234	0.0446711484472911
STIL	1	0.111	-0.551	0.00140681518706016
FOXD2	1	0.404	-0.558	2.71140268667535e-07
AGBL4	2	-0.549	0.19	0.000129941951889912
BEND5	2	-0.803	0.3	1.22641407473438e-08
EPS15	1	0.026	-0.445	0.028013475315733
NRD1	1	0.282	-0.952	3.52311323959906e-09
RAB3B	1	0.225	-0.44	0.000487778251884403
TXNDC12	1	-0.138	-0.859	0.00689705989087728
KTI12	1	-0.133	-0.639	0.0380003826275251
BTF3L4	1	0.012	-0.762	0.00138263491553426
ZFYVE9	2	-0.921	0.136	7.18950584623591e-06
CC2D1B	2	-1.174	0.149	3.24264301266786e-07
ORC1	1	0.097	-0.458	0.00724966057316033
PRPF38A	2	-1.012	-0.09	0.000822399132901593
FAM159A	1	0.188	-0.394	0.0025043387062875
ZYG11A	2	-0.598	0.311	2.74038596559969e-06
ECHDC2	2	-0.57	0.039	0.00566327614531849
PODN	2	-0.413	0.172	0.00210174972976093
LRP8	1	0.299	-0.634	2.16919053736087e-06
NDC1	1	0.045	-0.471	0.0150096097960015
HSPB11	1	0.047	-0.742	0.000840614181462402
TCEANC2	2	-0.614	-0.14	0.0481606353472644
ACOT11	2	-0.528	0.497	0.00203666012042595
MROH7	2	-0.394	0.132	0.00562212003290795
TTC4	2	-1.326	-0.316	0.00483644880228935
PARS2	2	-0.748	0.066	0.000428147106637747
PPAP2B	1	0.396	-0.527	1.16583324025005e-06
TACSTD2	1	0.534	-0.328	0.021768321440041
JUN	2	-0.334	0.179	0.0105488767828447
HOOK1	2	-0.549	0.243	3.4631807675601e-05
CYP2J2	2	-0.601	0.549	4.19948594857982e-06
NFIA	2	-0.832	0.446	4.81807478254766e-13
FOXD3	2	-0.673	0.577	2.64841307118665e-11
ALG6	1	0.011	-0.692	0.00350697057081416
PGM1	1	0.265	-0.477	0.000494086883712401
ROR1	1	0.546	-0.433	2.04543431184776e-06
AK4	1	0.626	-0.663	3.13245974444891e-12
LEPR	1	0.207	-0.384	0.00410566417396817
PDE4B	2	-0.639	0.432	1.16864082820563e-08
MIER1	1	0.072	-0.461	0.0103960224906798
SLC35D1	1	0.009	-0.438	0.0433507086974541
IL12RB2	2	-0.77	0.546	4.9180335421076e-14
DIRAS3	1	0.177	-0.433	0.00145848311052178
WLS	1	0.1	-0.665	0.000686014891512159
DEPDC1	1	0.47	-0.308	0.00185271701032595
LRRC40	1	0.178	-0.307	0.026977464770836
HHLA3	2	-0.526	0.158	0.000979906580558204
CTH	2	-0.947	0.408	5.26746976075555e-12
LRRIQ3	2	-0.328	0.143	0.0289749279462024
FPGT	1	0.049	-0.385	0.0464677373494637
RABGGTB	2	-0.564	0.151	0.00240872150827081
AK5	1	0.234	-0.36	0.00167042839745182
ZZZ3	2	-0.375	0.069	0.0429269609638894
FAM73A	1	0.182	-0.359	0.0186506231715982
NEXN	1	0.4	-0.494	1.02179086628667e-06
GIPC2	1	0.086	-0.346	0.0335902764699407
PTGFR	1	0.315	-0.219	0.0199370119852171
SAMD13	2	-0.639	0.188	0.000147598335871179
GNG5	2	-0.657	0.086	0.00119970218239114
LPAR3	2	-0.338	0.734	0.0165664181099752
MCOLN2	1	0.142	-0.348	0.0131218504422101
MCOLN3	2	-0.39	0.183	0.00353178060456809
SYDE2	2	-0.377	0.105	0.0156843740226315
BCL10	1	0.09	-0.517	0.010337658550212
DDAH1	1	0.219	-0.2	0.0303436193743672
COL24A1	2	-0.34	0.169	0.00905727892076366
CLCA2	2	-0.48	0.311	0.000663488349898707
SH3GLB1	1	0.084	-0.511	0.0097191785616208
HS2ST1	1	0.333	-0.567	6.06031353628633e-05
LMO4	2	-0.686	0.172	3.27245712341022e-05
PKN2	1	0.147	-0.425	0.00800038733890176
GTF2B	1	-0.04	-0.566	0.0419088358559052
CCBL2	1	-0.002	-0.565	0.0211863346301233
RBMXL1	2	-0.743	0.335	1.18724467976612e-06
GBP3	1	0.197	-0.382	0.00259705309505435
GBP1	1	0.201	-0.395	0.00165216738619412
GBP2	1	0.15	-0.31	0.0158453022543202
GBP4	1	0.183	-0.378	0.00318714792726421
GBP5	1	0.184	-0.389	0.00258713175065288
GBP6	1	0.205	-0.381	0.00205877846464195
GBP1P1	1	0.202	-0.393	0.00170837982902135
ZNF326	1	0.157	-0.375	0.0138528742425492
HFM1	2	-0.348	0.122	0.0159845635822876
EPHX4	2	-0.376	0.433	0.00949027837947099
GLMN	1	0.266	-0.533	7.14975730659836e-05
GFI1	1	0.189	-0.414	0.00158799836283201
RPL5	2	-0.63	0.208	4.89798585767103e-05
CCDC18	1	0.092	-0.313	0.0468602000152063
DR1	1	0.105	-0.457	0.00687977468633392
GCLM	1	0.098	-0.334	0.0395617193049975
ARHGAP29	1	0.416	-0.443	2.58383971635602e-05
SLC44A3	2	-0.67	0.539	7.63877795168609e-10
CNN3	2	-0.43	0.032	0.0457740051192717
ALG14	1	0.263	-0.779	5.84855153636646e-07
DPYD	1	0.126	-0.344	0.0168303602188999
LPPR4	1	0.197	-0.299	0.00971945024465148
PALMD	2	-0.493	0.647	4.9202737210698e-06
FRRS1	2	-0.355	0.155	0.0171130356987918
LRRC39	1	0.221	-0.535	0.00017795874038176
RTCA	1	0.065	-0.576	0.00379860056197152
VCAM1	1	0.162	-0.364	0.0076226577999868
SLC30A7	1	0.123	-0.478	0.0042193294703808
S1PR1	1	0.174	-0.278	0.0219004260049639
COL11A1	2	-0.428	0.534	1.86593685610905e-05
PRMT6	2	-0.84	0.145	2.51498678601467e-05
HENMT1	2	-0.699	0.291	1.35860232400871e-05
AKNAD1	1	0.279	-0.23	0.0326878795220991
GPSM2	1	0.238	-0.229	0.0312734138671791
CLCC1	1	0.17	-0.58	0.000763829755880617
KIAA1324	1	0.105	-0.39	0.011614481667697
CELSR2	2	-0.559	0.098	0.00276371587761742
PSRC1	1	0.171	-0.624	7.740279442245e-05
SORT1	1	0.135	-0.646	0.000579096754926776
PSMA5	1	0.026	-0.63	0.00384195870431546
SYPL2	2	-0.692	0.432	1.93506379863747e-08
AMIGO1	2	-0.46	0.078	0.00942178772575864
GPR61	2	-0.425	0.277	0.000270130547571726
GSTM2	2	-0.657	0.27	0.000501398382544345
GSTM3	2	-0.343	0.103	0.0264383460622213
CSF1	1	0.038	-0.501	0.0123081204520199
AHCYL1	1	0.05	-0.654	0.00295151600450771
STRIP1	2	-1.292	-0.126	0.00193593396960659
ALX3	2	-0.542	0.064	0.00555066345039061
KCNA3	1	0.133	-0.275	0.0331354851632979
CD53	1	0.187	-0.388	0.00293500691672671
DRAM2	2	-0.631	0.014	0.0127036022363694
DENND2D	2	-0.5	0.132	0.017498488443027
PIFO	2	-0.451	0.238	0.000408196686020437
ADORA3	1	0.132	-0.3	0.0489490292431549
KCND3	1	0.072	-0.385	0.0233997753339357
CTTNBP2NL	1	0.125	-0.374	0.0267759790031487
ST7L	1	0.054	-0.613	0.00502480171299724
CAPZA1	1	0.204	-0.52	0.000760316426471639
MOV10	1	0.18	-0.604	0.000172904077307883
SLC16A1	2	-0.527	0.31	0.00256857436222137
PHTF1	1	0.373	-0.62	2.9178033152355e-07
PTPN22	1	0.172	-0.332	0.00875879390094383
BCL2L15	1	0.249	-0.352	0.00595512932609053
BCAS2	1	0.032	-0.52	0.0132480040688825
DENND2C	2	-0.364	0.206	0.00450568460367589
CSDE1	2	-0.807	0.133	0.000174533554216015
TSPAN2	1	0.261	-0.368	0.00114253112105839
CASQ2	1	0.152	-0.335	0.0160651765310784
SLC22A15	2	-0.354	0.09	0.0267485594856305
ATP1A1	2	-0.565	-0.024	0.0256693007833597
CD58	1	0.264	-0.446	0.00067702458973223
IGSF3	2	-0.751	0.207	7.48956743963694e-06
CD2	1	0.215	-0.385	0.00193527294266168
PTGFRN	2	-0.701	0.031	0.00300880835071159
CD101	1	0.239	-0.474	0.000269909492522046
TTF2	2	-0.473	0.12	0.00855156060907241
ZNF697	2	-0.369	0.058	0.0471736992302189
NOTCH2	2	-0.623	0.303	0.000154009390385224
ACP6	2	-0.348	0.435	0.000389205242928777
ANKRD34A	1	0.565	-0.483	1.93318909106642e-07
FAM72B	1	0.584	-0.508	1.52938721926339e-07
FAM72D	1	0.699	-0.407	3.38719138860347e-06
FCGR1A	1	0.296	-0.348	0.00142812255833162
FCGR1B	1	0.299	-0.363	0.0010340609395541
GJA5	1	0.428	-0.485	6.48941628943818e-06
GPR89A	1	0.8	-0.576	6.07517457977915e-09
HIST2H2AA3	1	0.222	-0.244	0.0236801244515768
HIST2H2BA	1	0.208	-0.361	0.00597328641018256
HIST2H2BF	1	0.489	-0.577	8.08980000864188e-08
HIST2H3C	1	0.387	-0.494	1.09063726659622e-05
HIST2H3D	1	0.304	-0.46	0.000202778470848908
HIST2H4A	1	0.28	-0.371	0.00187330606672989
LIX1L	1	0.817	-0.439	1.9552081285009e-06
NOTCH2NL	1	0.587	-0.192	0.00385491091249805
NUDT17	2	-0.183	0.551	0.00402684466409554
PDE4DIP	1	0.318	-0.198	0.0364347615245469
PDZK1	1	0.133	-0.286	0.0470412851660319
PEX11B	2	-0.169	0.399	0.0222205048101695
PIAS3	2	-0.297	0.518	0.000179072646078777
POLR3C	1	0.76	-0.388	0.000140694878229188
PPIAL4C	1	0.342	-0.282	0.00361522546392724
PPIAL4D	1	0.234	-0.21	0.0417410918828942
RNF115	1	0.754	-0.443	7.04901235753051e-06
SEC22B	1	0.135	-0.392	0.0165911759614544
TXNIP	2	-0.412	0.407	0.00030565379296176
SF3B4	2	-0.164	0.298	0.0425809568509907
MTMR11	2	-0.21	0.275	0.0262386150151039
OTUD7B	2	-0.522	0.622	8.6677419635012e-08
PLEKHO1	1	0.381	-0.265	0.00432876364545414
ANP32E	1	0.559	-0.378	5.67755107102478e-05
CA14	1	0.328	-0.25	0.00956841530619739
PRPF3	1	0.534	-0.217	0.00779915720573294
RPRD2	1	0.512	-0.314	0.000577378586178144
TARS2	1	0.662	-0.263	0.00119504379506701
ECM1	1	0.785	-0.556	3.65137262126579e-07
ADAMTSL4	2	-0.321	0.344	0.00174207898385593
MCL1	1	0.711	-0.488	1.54200373532202e-07
HORMAD1	2	-0.238	0.195	0.0423808511244194
CTSS	1	0.247	-0.26	0.0175111141033445
CTSK	1	0.563	-0.202	0.0193728417045522
SETDB1	2	-0.276	0.464	0.00100530527323963
CERS2	1	0.729	-0.418	1.14458704526377e-05
ANXA9	2	-0.33	0.386	0.00075376464959123
FAM63A	2	-0.407	0.425	5.83964660967853e-05
PRUNE	1	0.878	-0.342	9.43074740442223e-05
CDC42SE1	1	0.695	-0.545	2.83275261784886e-08
GABPB2	1	0.376	-0.263	0.0051610075718128
TNFAIP8L2	1	0.357	-0.363	0.000601977740545633
ZNF687	2	-0.392	0.442	6.25915328862435e-05
RFX5	1	0.338	-0.357	0.00149974830649435
POGZ	2	-0.245	0.339	0.00846191907808328
CGN	2	-0.521	0.493	5.72699807561934e-07
TUFT1	2	-0.405	0.469	0.000181600667187407
SNX27	1	0.519	-0.326	0.000241303785738968
OAZ3	2	-0.22	0.36	0.0208456993957693
RORC	2	-0.38	0.32	0.000813271854683233
C2CD4D	2	-0.455	0.434	1.89168631373936e-05
THEM4	2	-0.252	0.295	0.0107160101297771
TCHH	1	0.418	-0.41	6.1109829561125e-05
LCE2A	1	0.225	-0.282	0.0172723004646636
S100A3	1	0.408	-0.465	2.36673067621262e-05
S100A4	1	0.335	-0.303	0.00333412430403969
S100A6	1	0.715	-0.543	1.75840962011871e-08
S100A2	1	0.517	-0.36	0.00023947556574803
S100A13	1	0.709	-0.511	5.84103357247442e-08
S100A1	1	0.413	-0.339	0.000880843225509372
CHTOP	2	-0.297	0.558	0.00229887919830246
SNAPIN	1	0.877	-0.382	6.76584835486664e-05
ILF2	1	0.409	-0.111	0.0408091458219746
NPR1	1	0.356	-0.31	0.00478460640985546
INTS3	1	0.387	-0.325	0.000981438917453944
GATAD2B	2	-0.171	0.346	0.0227506609214574
DENND4B	2	-0.387	0.411	0.000150814190413808
SLC39A1	1	0.375	-0.283	0.00302771267558015
CREB3L4	2	-0.615	0.633	4.11178163149614e-10
JTB	1	0.479	-0.222	0.00464741107871404
RAB13	2	-0.203	0.279	0.0303066430403803
RPS27	2	-0.246	0.284	0.0162818663987408
TPM3	1	0.601	-0.262	0.000855976397820015
HAX1	1	0.39	-0.226	0.00894297222146199
ATP8B2	1	0.687	-0.652	5.82541097172985e-12
SHE	2	-0.612	0.623	4.13978729019549e-10
TDRD10	2	-0.591	0.572	8.12822596921797e-09
CHRNB2	2	-0.329	0.461	0.00115742432391237
KCNN3	1	0.304	-0.237	0.013902565714466
PMVK	1	0.337	-0.209	0.016621307021833
PBXIP1	2	-0.486	0.542	4.77054721214761e-07
PYGO2	2	-0.305	0.353	0.0021030273148865
SHC1	1	0.607	-0.509	7.61843608452915e-08
ZBTB7B	1	0.372	-0.242	0.00710850757206577
ADAM15	1	0.514	-0.384	5.99519466562063e-05
EFNA3	1	0.759	-0.454	9.23535631256582e-06
EFNA4	2	-0.254	0.468	0.00318142399218074
SLC50A1	1	0.463	-0.307	0.00136493820735764
KRTCAP2	1	0.476	-0.281	0.00243891764249766
THBS3	1	0.264	-0.283	0.0130401807676627
MTX1	1	0.358	-0.217	0.0119741152822857
GBAP1	1	0.439	-0.342	0.000905683148389023
GBA	1	0.417	-0.311	0.00234305952402197
HCN3	2	-0.702	0.741	4.82665804486231e-14
PKLR	2	-0.289	0.342	0.00353296537591999
FDPS	1	0.719	-0.367	5.7111879567522e-05
YY1AP1	2	-0.438	0.511	5.00292897714842e-06
RIT1	1	0.407	-0.247	0.00659324135564397
SSR2	2	-0.324	0.526	0.000347866530958466
UBQLN4	2	-0.407	0.635	2.09292322199474e-05
LAMTOR2	1	0.584	-0.396	1.57158021336682e-05
TSACC	1	0.514	-0.344	0.00056599122994872
MEF2D	1	0.409	-0.137	0.0270020802595113
IQGAP3	1	0.624	-0.315	0.00115783068817267
TTC24	1	0.273	-0.305	0.00594319054938528
GPATCH4	1	0.315	-0.24	0.0113694852974987
BCAN	2	-0.203	0.289	0.0374495323405282
CRABP2	1	0.392	-0.331	0.000709751325323893
MRPL24	1	0.704	-0.271	0.0018594214433121
SH2D2A	1	0.351	-0.269	0.00382092031246617
FCRL3	1	0.264	-0.334	0.00408206631863326
CD5L	1	0.212	-0.269	0.0218047776002054
KIRREL	1	0.538	-0.47	1.67291891558704e-06
CD1D	1	0.203	-0.225	0.0449213708090539
CD1A	1	0.283	-0.194	0.03292980522037
MNDA	1	0.294	-0.309	0.00432746004587415
IFI16	1	0.304	-0.294	0.00672272072359569
AIM2	1	0.264	-0.324	0.00508232601453324
FCRL6	1	0.255	-0.289	0.00979062920665131
SLAMF8	1	0.333	-0.33	0.00164064568540629
TAGLN2	1	0.656	-0.342	6.66592938439748e-05
IGSF8	2	-0.247	0.52	0.00162454498652679
PEA15	1	0.622	-0.155	0.00631241004903846
DCAF8	1	0.527	-0.347	0.000109089026491959
COPA	1	0.847	-0.319	9.40331807294783e-05
NCSTN	1	0.549	-0.302	0.000299069314097637
